stratum,LongStratum,PlannedGrids,CompletedGrids,percent.completed,Year,Partner,State,bcr,area
NV-BCR9-WI,NV-BCR9-WI: Bureau of Land Management - Winnemucca District,15,10,0.666666667,2024,MTM,NV,9,33881
OR-BCR10-BU,OR-BCR10-BU: Bureau of Land Management - Burns District,8,8,1,2024,KBO,OR,10,1131
OR-BCR10-PR,OR-BCR10-PR: Bureau of Land Management - Prineville District,8,8,1,2024,KBO,OR,10,2549
OR-BCR10-VA,OR-BCR10-VA: Bureau of Land Management - Vale District,8,8,1,2024,KBO,OR,10,2457
OR-BCR9-BU,OR-BCR9-BU: Bureau of Land Management - Burns District,8,8,1,2024,KBO,OR,9,12137
OR-BCR9-LA,OR-BCR9-LA: Bureau of Land Management - Lakeview and Medford Districts,8,8,1,2024,KBO,OR,9,13783
OR-BCR9-PR,OR-BCR9-PR: Bureau of Land Management - Prineville District,8,8,1,2024,KBO,OR,9,3617
OR-BCR9-VA,OR-BCR9-VA: Bureau of Land Management - Vale District,8,8,1,2024,KBO,OR,9,18002
SD-BCR17-BM,SD-BCR17-BM: Bureau of Land Management,7,7,1,2024,BCR,SD,17,831
UT-BCR16-GS,UT-BCR16-GS: Bureau of Land Management - Grand Staircase-Escalante National Monument,6,6,1,2024,IBO,UT,16,7564
UT-BCR16-KA,UT-BCR16-KA: Bureau of Land Management - Kanab Field Office,4,4,1,2024,IBO,UT,16,2267
UT-BCR16-MN,UT-BCR16-MN: Bureau of Land Management - Monticello Field Office,6,6,1,2024,IBO,UT,16,7321
UT-BCR16-MO,UT-BCR16-MO: Bureau of Land Management - Moab Field Office,7,7,1,2024,BCR,UT,16,7725
UT-BCR16-PR,UT-BCR16-PR: Bureau of Land Management - Price Field Office,8,8,1,2024,IBO,UT,16,10216
WY-BCR10-CO,WY-BCR10-CO: Bureau of Land Management - Cody Field Office,6,6,1,2024,BCR,WY,10,4704
WY-BCR10-KE,WY-BCR10-KE: Bureau of Land Management - Kemmerer Field Office,8,8,1,2024,BCR,WY,10,5733
WY-BCR10-LA,WY-BCR10-LA: Bureau of Land Management - Lander Field Office,12,12,1,2024,BCR,WY,10,9829
WY-BCR10-PI,WY-BCR10-PI: Bureau of Land Management - Pinedale Field Office,6,7,1.166666667,2024,BCR,WY,10,3687
WY-BCR10-RA,WY-BCR10-RA: Bureau of Land Management - Rawlins Field Office,13,13,1,2024,BCR,WY,10,13954
WY-BCR10-RO,WY-BCR10-RO: Bureau of Land Management - Rock Springs Field Office,14,14,1,2024,BCR,WY,10,15152
WY-BCR10-WO,WY-BCR10-WO: Bureau of Land Management - Worland Field Office,7,6,0.857142857,2024,BCR,WY,10,8467
WY-BCR16-BL,WY-BCR16-BL: Bureau of Land Management,2,2,1,2024,BCR,WY,16,647
WY-BCR17-NE,WY-BCR17-NE: Bureau of Land Management - Newcastle Field Office,3,3,1,2024,BCR,WY,17,1025
WY-BCR18-BL,WY-BCR18-BL: Bureau of Land Management,2,2,1,2024,BCR,WY,18,171
CA-BCR9-CC,CA-BCR9-CC: Bureau of Land Management - Carson City District,3,2,0.666666667,2024,MTM,CA,9,118
CA-BCR9-NC,CA-BCR9-NC: Bureau of Land Management - Northern California District,4,4,1,2024,GBBO,CA,9,5468
CO-BCR18-DO,CO-BCR18-DO: Department of Defense,2,2,1,2024,BCR,CO,18,1647
UT-BCR9-AP,UT-BCR9-AP: Department of Defense - APG Impact Area,6,6,1,2024,DOD,UT,9,70
UT-BCR9-DD,UT-BCR9-DD: Department of Defense - Other Lands,8,7,0.875,2024,DOD,UT,9,1986
UT-BCR9-MU,UT-BCR9-MU: Department of Defense - Mudflats,3,3,1,2024,DOD,UT,9,1162
UT-BCR9-TS,UT-BCR9-TS: Department of Defense - Target S Impact Area,6,6,1,2024,DOD,UT,9,128
UT-BCR9-UR,UT-BCR9-UR: Department of Defense - UTG Impact Area,5,6,1.2,2024,DOD,UT,9,126
UT-BCR9-UT,UT-BCR9-UT: Department of Defense - UTTR Impact Areas,3,2,0.666666667,2024,DOD,UT,9,522
WY-BCR18-DO,WY-BCR18-DO: Department of Defense,2,2,1,2024,BCR,WY,18,23
CO-BCR16-NC,CO-BCR16-NC: National Park Service - Northern Colorado Plateau Network,2,2,1,2024,BCR,CO,16,807
CO-BCR16-RM,CO-BCR16-RM: National Park Service - Rocky Mountain Network,2,2,1,2024,BCR,CO,16,1644
CO-BCR16-SC,CO-BCR16-SC: National Park Service - Southern Colorado Plateau Network,2,2,1,2024,BCR,CO,16,214
ND-BCR17-KR,ND-BCR17-KR: Knife River Indian Villages National Historic Site,5,5,1,2024,BCR,ND,17,5
NE-BCR18-AF,NE-BCR18-AF: Agate Fossil Beds National Monument,4,4,1,2024,BCR,NE,18,12
NE-BCR18-SB,NE-BCR18-SB: Scotts Bluff National Monument,4,4,1,2024,BCR,NE,18,13
SD-BCR17-BN,SD-BCR17-BN: Badlands National Park - North Unit,6,6,1,2024,BCR,SD,17,399
SD-BCR17-JC,SD-BCR17-JC: Jewel Cave National Monument,4,2,0.5,2024,BCR,SD,17,5
SD-BCR17-MR,SD-BCR17-MR: Mount Rushmore National Monument,6,6,1,2024,BCR,SD,17,6
SD-BCR17-WC,SD-BCR17-WC: Wind Cave National Park,6,6,1,2024,BCR,SD,17,136
WY-BCR10-BH,WY-BCR10-BH: Bighorn Canyon National Recreation Area,2,2,1,2024,BCR,WY,10,57
WY-BCR10-GR,WY-BCR10-GR: Grand Teton National Park,2,2,1,2024,BCR,WY,10,856
WY-BCR10-YE,WY-BCR10-YE: Yellowstone National Park,4,4,1,2024,BCR,WY,10,7592
CO-BCR10-AO,CO-BCR10-AO: All Other Lands,5,5,1,2024,BCR,CO,10,5060
CO-BCR16-AO,CO-BCR16-AO: All Other Lands,20,20,1,2024,BCR,CO,16,51214
KS-BCR18-AO,KS-BCR18-AO: All Other Lands,11,11,1,2024,BCR,KS,18,34794
KS-BCR18-PL,KS-BCR18-PL: Playas,11,11,1,2024,BCR,KS,18,370
KS-BCR18-RV,KS-BCR18-RV: Rivers,11,11,1,2024,BCR,KS,18,1409
KS-BCR19-AO,KS-BCR19-AO: All Other Lands,11,11,1,2024,BCR,KS,19,98649
KS-BCR19-PL,KS-BCR19-PL: Playas,11,11,1,2024,BCR,KS,19,176
KS-BCR19-RV,KS-BCR19-RV: Rivers,11,11,1,2024,BCR,KS,19,10523
MT-BCR10-ON,MT-BCR10-ON: All Other Lands,8,8,1,2024,IBO,MT,10,75417
MT-BCR11-AO,MT-BCR11-AO: All Other Lands,10,9,0.9,2024,IBO,MT,11,62631
MT-BCR17-AO,MT-BCR17-AO: All Other Lands,18,18,1,2024,IBO,MT,17,102779
ND-BCR17-AT,ND-BCR17-AT: All Other Lands,10,10,1,2024,BCR,ND,17,50236
NE-BCR17-ON,NE-BCR17-ON: All Other Lands,6,6,1,2024,BCR,NE,17,4553
NE-BCR18-ON,NE-BCR18-ON: All Other Lands,6,6,1,2024,BCR,ND,18,34896
OK-BCR18-AO,OK-BCR18-AO: All Other Lands,4,4,1,2024,BCR,OK,18,10556
OK-BCR19-AO,OK-BCR19-AO: All Other Lands,4,4,1,2024,BCR,OK,19,68616
SD-BCR17-AT,SD-BCR17-AT: All Other Lands,20,20,1,2024,BCR,SD,17,92764
TX-BCR18-AO,TX-BCR18-AO: All Other Lands,4,4,1,2024,BCR,TX,18,98186
TX-BCR19-AO,TX-BCR19-AO: All Other Lands,4,4,1,2024,BCR,TX,19,84131
UT-BCR10-AO,UT-BCR10-AO: All Other Lands,5,4,0.8,2024,UDWR,UT,10,1968
UT-BCR16-AO,UT-BCR16-AO: All Other Lands,49,37,0.755102041,2024,UDWR,UT,16,45439
UT-BCR33-AO,UT-BCR33-AO: All Other Lands,15,13,0.866666667,2024,UDWR,UT,33,65
UT-BCR9-AO,UT-BCR9-AO: All Other Lands,35,35,1,2024,UDWR,UT,9,34037
WY-BCR10-AO,WY-BCR10-AO: All Other Lands,15,15,1,2024,BCR,WY,10,52161
WY-BCR16-AO,WY-BCR16-AO: All Other Lands,5,5,1,2024,BCR,WY,16,5438
WY-BCR17-AO,WY-BCR17-AO: All Other Lands,12,12,1,2024,BCR,WY,17,52186
WY-BCR18-AO,WY-BCR18-AO: All Other Lands,12,12,1,2024,BCR,WY,18,12064
WY-BCR10-WR,WY-BCR10-WR: Wind River Reservation,4,4,1,2024,BCR,WY,10,7819
AZ-BCR34-CF,AZ-BCR34-CF: Coconino National Forest,10,10,1,2024,BCR,AZ,34,7426
CO-BCR16-AR,CO-BCR16-AR: Arapaho and Roosevelt National Forests,34,32,0.941176471,2024,BCR,CO,16,6932
CO-BCR16-GM,CO-BCR16-GM: Grand Mesa; Uncompahgre and Gunnison National Forests,11,11,1,2024,BCR,CO,16,13630
CO-BCR16-PS,CO-BCR16-PS: Pike and San Isabel National Forests,8,8,1,2024,BCR,CO,16,10950
CO-BCR16-SA,CO-BCR16-SA: San Juan National Forest,16,16,1,2024,BCR,CO,16,8794
CO-BCR18-CO,CO-BCR18-CO: Comanche National Grassland,5,5,1,2024,BCR,CO,18,4836
CO-BCR18-PG,CO-BCR18-PG: Pawnee National Grassland - Public Lands,8,8,1,2024,BCR,CO,18,810
ID-BCR10-PA,ID-BCR10-PA: Payette National Forest,10,10,1,2024,IBO,ID,10,9857
ID-BCR9-CU,ID-BCR9-CU: Curlew National Grassland,5,5,1,2024,IBO,ID,9,300
KS-BCR18-CM,KS-BCR18-CM: Cimarron National Grassland,3,3,1,2024,BCR,KS,18,430
ND-BCR17-MG,ND-BCR17-MG: Little Missouri National Grassland,6,4,0.666666667,2024,BCR,ND,17,4133
ND-BCR17-RG,ND-BCR17-RG: Cedar River National Grassland,4,4,1,2024,BCR,ND,17,20
NM-BCR16-CF,NM-BCR16-CF: Carson National Forest,10,10,1,2024,BCR,NM,16,6459
NM-BCR16-SF,NM-BCR16-SF: Santa Fe National Forest,10,10,1,2024,BCR,NM,16,6784
NM-CIBOL-CB,NM-CIBOL-CB: Cibola National Forest,10,10,1,2024,BCR,NM,0,8475
SD-BCR17-RG,SD-BCR17-RG: Grand River National Grassland,5,5,1,2024,BCR,SD,17,613
WY-BCR10-BI,WY-BCR10-BI: Bighorn National Forest,10,10,1,2024,WYNDD,WY,10,4712
WY-BCR17-TB,WY-BCR17-TB: Thunder Basin National Grassland,6,6,1,2024,WYNDD,WY,17,4520
